ba,ca,sr,cd,ti,zr,sn,hf,ct
98,0,0,2,100,0,0,0,121.81
95,0,0,5,100,0,0,0,125.43
90,0,0,10,100,0,0,0,127.03
85,0,0,15,100,0,0,0,126.45
80,0,0,20,100,0,0,0,122.4
75,0,0,25,100,0,0,0,123.86
96.5,3.5,0,0,77.5,22.5,0,0,7.45
93,7,0,0,80,20,0,0,21.66
89.5,10.5,0,0,82.5,17.5,0,0,28.3
87.75,12.25,0,0,83.75,16.25,0,0,45.59
86,14,0,0,85,15,0,0,41.04
84.25,15.75,0,0,86.25,13.75,0,0,58.21
82.5,17.5,0,0,87.5,12.5,0,0,49.88
80.75,19.25,0,0,88.75,11.25,0,0,76.96
77.25,22.75,0,0,91.25,8.75,0,0,86.36
75.5,24.5,0,0,92.5,7.5,0,0,91.19
72,28,0,0,95,5,0,0,102.66
68.5,31.5,0,0,97.5,2.5,0,0,104.07
100,0,0,0,99,0,1,0,120.2
100,0,0,0,98,0,2,0,113.04
100,0,0,0,97,0,3,0,104.13
100,0,0,0,96,0,4,0,96.53
100,0,0,0,95,0,5,0,89.1
100,0,0,0,94,0,6,0,82.84
100,0,0,0,93,0,7,0,73.86
98.5,1.5,0,0,88.6,0,11.4,0,43.29
97,3,0,0,89.2,0,10.8,0,49.82
95.5,4.5,0,0,89.8,0,10.2,0,55.27
94,6,0,0,90.4,0,9.6,0,61.01
92.5,7.5,0,0,91,0,9,0,77.09
91,9,0,0,91.6,0,8.4,0,72.9
89.5,10.5,0,0,92.2,0,7.8,0,68.52
88,12,0,0,92.8,0,7.2,0,83.66
85,15,0,0,94,0,6,0,89.9
82,18,0,0,95.2,0,4.8,0,95.86
79,21,0,0,96.4,0,3.6,0,99.36
76,24,0,0,97.6,0,2.4,0,106.98
73,27,0,0,98.8,0,1.2,0,104.84
100,0,0,0,88,0,12,0,36.56
85,15,0,0,90,10,0,0,94.61
89.2,10.8,0,0,88,12,0,0,75
87.4,12.6,0,0,91,9,0,0,88.31
85.6,14.4,0,0,94,6,0,0,97.93
83.8,16.2,0,0,97,3,0,0,114.84
91,9,0,0,85,15,0,0,53.51
82.9,17.1,0,0,98.5,1.5,0,0,117.55
95,0,5,0,80,20,0,0,29.43
90,0,10,0,80,20,0,0,11.69
85,0,15,0,80,20,0,0,18.04
83,0,17,0,79,21,0,0,1.51
88,12,0,0,88.8,0,11.2,0,48.67
84,16,0,0,90.4,0,9.6,0,38.86
80,20,0,0,92,0,8,0,56.08
76,24,0,0,93.6,0,6.4,0,62.74
86.5,13.5,0,0,88.1,0,11.9,0,27.19
82,18,0,0,89.8,0,10.2,0,35.22
77.5,22.5,0,0,91.5,0,8.5,0,52.56
73,27,0,0,93.2,0,6.8,0,60.78
88,12,0,0,84.6,0,15.4,0,2.06
84,16,0,0,86.8,0,13.2,0,24.4
80,20,0,0,89,0,11,0,39.95
76,24,0,0,91.2,0,8.8,0,54.46
91,9,0,0,86,14,0,0,56.7
100,0,0,0,90,10,0,0,76.6
96,0,4,0,100,0,0,0,116.11
60,0,40,0,100,0,0,0,3.46
88.3,11.7,0,0,89.5,10.5,0,0,81.1
87.85,12.15,0,0,90.25,9.75,0,0,84.77
86.95,13.05,0,0,91.75,8.25,0,0,93.8
86.5,13.5,0,0,92.5,7.5,0,0,94.07
80,20,0,0,88,2,10,0,38.23
84,16,0,0,90,10,0,0,86.65
85,15,0,0,89,11,0,0,78.32
60,10,30,0,90,10,0,0,-2.25
76,24,0,0,99,1,0,0,103.51
82,18,0,0,88,12,0,0,75.27
83,17,0,0,87,13,0,0,67.67
78,22,0,0,100,0,0,0,114.12
84,16,0,0,85,15,0,0,51.87
76,24,0,0,97,3,0,0,92.57
81,17,2,0,88,12,0,0,71.21
89,11,0,0,90,10,0,0,49.5
91,9,0,0,88,12,0,0,32.9
88,9,3,0,81,19,0,0,18.07
90,10,0,0,93,0,7,0,73.96
91,9,0,0,89,0,11,0,40.82
73,27,0,0,96,4,0,0,108.1
79,21,0,0,91,9,0,0,92.71
90,10,0,0,95,0,5,0,90.94
91,9,0,0,96,1,3,0,101.52
95,1,4,0,79,21,0,0,15.06
96,3,1,0,72,27,1,0,-51.76
88,12,0,0,92,2,6,0,73.57
94,6,0,0,84,16,0,0,0.71
88,12,0,0,92,3,5,0,79.88
83,17,0,0,92,8,0,0,63.06
84,16,0,0,91,8,1,0,90.06
78,13,9,0,83,0,17,0,-28.22
87,13,0,0,91,4,5,0,74.39
86,14,0,0,87,13,0,0,24.27
92,8,0,0,91,1,8,0,62.98
85,15,0,0,91,5,4,0,79
84,16,0,0,89,7,4,0,65.86
84,16,0,0,90,7,3,0,75.06
76,8,16,0,85,6,9,0,-14.45
84,16,0,0,90,6,4,0,72.78
85,15,0,0,87,6,7,0,42.71
83,17,0,0,90,7,3,0,74.49
74,11,15,0,92,3,5,0,36.95
84,15,1,0,90,7,3,0,73.28
83,17,0,0,90,3,7,0,60.6
84,16,0,0,90,8,2,0,80.64
85,15,0,0,91,9,0,0,93.18
91,9,0,0,90,0,10,0,47.63
84,15,1,0,92,8,0,0,93.96
84,16,0,0,91,9,0,0,91.97
94,6,0,0,91,0,9,0,52.71
95,5,0,0,91,0,9,0,52.6
93,7,0,0,91,0,9,0,51.69
93,7,0,0,92,0,8,0,60.99
86,14,0,0,91,9,0,0,90.2
95,5,0,0,89,0,11,0,36.78
86,14,0,0,91,8,1,0,88.36
91,9,0,0,91,0,9,0,53.82
86,14,0,0,92,8,0,0,95.45
97,3,0,0,88,0,12,0,28.63
87,13,0,0,92,8,0,0,97.06
82,18,0,0,83,17,0,0,40.81
86,14,0,0,90,10,0,0,87
85,15,0,0,93,0,7,0,70.94
86,14,0,0,90,9,1,0,83.32
92,8,0,0,91,0,9,0,55.05
88,12,0,0,74,26,0,0,-39.29
83,4,13,0,75,6,19,0,-83.99
84,16,0,0,85,0,15,0,3.45
92,8,0,0,79,21,0,0,6.03
85,15,0,0,83,0,17,0,-10.78
83,17,0,0,85,0,15,0,-0.31
93,7,0,0,97,0,2,1,97.97
89,11,0,0,84,0,16,0,3.15
86,14,0,0,83,0,17,0,-8.22
87,13,0,0,83,0,17,0,-10.13
68,2,30,0,90,10,0,0,6.4
85,15,0,0,85,0,15,0,4.53
90,10,0,0,97,0,3,0,97.68
84,16,0,0,84,0,16,0,-4.52
82,18,0,0,87,0,13,0,19
84,16,0,0,91,0,9,0,54.2
93,7,0,0,95,1,1,3,99.9
80,20,0,0,84,0,16,0,-7.75
60,10,30,0,90,9,0,1,-1.61
90,10,0,0,84,0,16,0,1.29
80,20,0,0,85,0,15,0,1.45
69,1,30,0,90,10,0,0,8.95
93,7,0,0,87,0,13,0,25.44
88,12,0,0,79,19,0,2,7.61
71,0,29,0,90,1,0,9,6.95
65,5,30,0,90,9,0,1,-6.53
79,21,0,0,85,0,15,0,5
81,19,0,0,85,0,15,0,7.53
100,0,0,0,85,0,0,15,54.6
100,0,0,0,80,0,0,20,27.13
100,0,0,0,75,0,0,25,-8.96
100,0,0,0,70,0,0,30,-53.58
100,0,0,0,65,0,0,35,-89.4
100,0,0,0,85,15,0,0,61.27
100,0,0,0,80,20,0,0,29.47
100,0,0,0,75,25,0,0,-10.5
100,0,0,0,70,30,0,0,-58.69
100,0,0,0,65,35,0,0,-101.3
100,0,0,0,85,0,15,0,13.3
100,0,0,0,80,0,20,0,-27.8
100,0,0,0,75,0,25,0,-78.4
79,21,0,0,96,0,4,0,95.4
79,21,0,0,92,0,8,0,59.53
79,21,0,0,90,0,10,0,40.4
79,21,0,0,88,0,12,0,20.4
79,21,0,0,86,0,14,0,-3
79,21,0,0,84,0,16,0,-18.7
79,21,0,0,82,0,18,0,-38.8
79,21,0,0,80,0,20,0,-50.4
100,0,0,0,100,0,0,0,129.85
